,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
3270,Texas,1,43,2016
3271,Texas,1,42,2016
3272,Texas,1,41,2016
3273,Texas,1,40,2016
3274,Vermont,1,39,2016
3275,Vermont,1,38,2016
3276,Vermont,1,37,2016
3277,Vermont,1,36,2016
3278,Vermont,1,35,2016
3279,Vermont,1,34,2016
3280,Vermont,1,33,2016
3281,Vermont,1,32,2016
3282,Vermont,1,31,2016
3283,Vermont,1,30,2016
3284,Vermont,1,29,2016
3285,Vermont,1,28,2016
3286,Vermont,1,27,2016
3287,Vermont,1,26,2016
3288,Vermont,1,25,2016
3289,Vermont,1,24,2016
3290,Vermont,1,23,2016
3291,Vermont,1,22,2016
3292,Vermont,1,21,2016
3293,Vermont,1,20,2016
3294,Vermont,1,19,2016
3295,Vermont,1,18,2016
3296,Vermont,1,17,2016
3297,Vermont,1,16,2016
3298,Vermont,1,15,2016
3299,Vermont,1,14,2016
3300,Vermont,1,13,2016
3301,Vermont,1,12,2016
3302,Vermont,1,11,2016
3303,Vermont,1,10,2016
3304,Vermont,1,9,2016
3305,Vermont,1,8,2016
3306,Vermont,1,7,2016
3307,Vermont,1,6,2016
3308,Vermont,1,5,2016
3309,Vermont,1,4,2016
3310,Vermont,1,3,2016
3311,Vermont,1,2,2016
3312,Vermont,1,1,2016
3313,Vermont,1,52,2016
3314,Vermont,1,51,2016
3315,Vermont,1,50,2016
3316,Vermont,1,49,2016
3317,Vermont,1,48,2016
3318,Vermont,1,47,2016
3319,Vermont,1,46,2016
3320,Vermont,1,45,2016
3321,Vermont,1,44,2016
3322,Vermont,1,43,2016
3323,Vermont,1,42,2016
3324,Vermont,1,41,2016
3325,Vermont,1,40,2016
3326,Washington,1,39,2016
3327,Washington,1,38,2016
3328,Washington,1,37,2016
3329,Washington,1,36,2016
3330,Washington,1,35,2016
3331,Washington,1,34,2016
3332,Washington,1,33,2016
3333,Washington,1,32,2016
3334,Washington,1,31,2016
3335,Washington,1,30,2016
3336,Washington,1,29,2016
3337,Washington,1,28,2016
3338,Washington,1,27,2016
3339,Washington,1,26,2016
3340,Washington,1,25,2016
3341,Washington,1,24,2016
3342,Washington,1,23,2016
3343,Washington,1,22,2016
3344,Washington,1,21,2016
3345,Washington,1,20,2016
3346,Washington,1,19,2016
3347,Washington,1,18,2016
3348,Washington,1,17,2016
3349,Washington,1,16,2016
3350,Washington,1,15,2016
3351,Washington,1,14,2016
3352,Washington,1,13,2016
3353,Washington,1,12,2016
3354,Washington,1,11,2016
3355,Washington,1,10,2016
3356,Washington,1,9,2016
3357,Washington,1,8,2016
3358,Washington,1,7,2016
3359,Washington,1,6,2016
3360,Washington,2,5,2016
3361,Washington,4,4,2016
3362,Washington,8,3,2016
3363,Washington,3,2,2016
3364,Washington,3,1,2016
3365,Washington,5,52,2016
3366,Washington,3,51,2016
3367,Washington,1,50,2016
3368,Washington,1,49,2016
3369,Washington,1,48,2016
3370,Washington,1,47,2016
3371,Washington,1,46,2016
3372,Washington,1,45,2016
3373,Washington,1,44,2016
3374,Washington,1,43,2016
3375,Washington,1,42,2016
3376,Washington,1,41,2016
3377,Washington,1,40,2016
3378,Utah,1,40,2016
3379,Utah,1,41,2016
3380,Utah,1,42,2016
3381,Utah,1,43,2016
3382,Utah,1,44,2016
3383,Utah,1,45,2016
3384,Utah,1,46,2016
3385,Utah,1,47,2016
3386,Utah,1,48,2016
3387,Utah,1,49,2016
3388,Utah,2,50,2016
3389,Utah,7,51,2016
3390,Utah,8,52,2016
3391,Utah,7,1,2016
3392,Utah,6,2,2016
3393,Utah,6,3,2016
3394,Utah,4,4,2016
3395,Utah,3,5,2016
3396,Utah,3,6,2016
3397,Utah,2,7,2016
3398,Utah,3,8,2016
3399,Utah,1,9,2016
3400,Utah,1,10,2016
3401,Utah,1,11,2016
3402,Utah,1,12,2016
3403,Utah,1,13,2016
3404,Utah,1,14,2016
3405,Utah,1,15,2016
3406,Utah,1,16,2016
3407,Utah,1,17,2016
3408,Utah,1,18,2016
3409,Utah,1,19,2016
3410,Utah,1,20,2016
3411,Utah,1,21,2016
3412,Utah,1,22,2016
